date	minute	lat	lon	depth	mag
27-Feb-1993	1164	47.619	-70.007	10.3	-0.1
03-Mar-1993	500	47.441	-70.364	5.9	0.4
04-Mar-1993	1322	47.514	-70.362	4.3	3.1
11-Mar-1993	607	47.17	-70.427	16	1.7
11-Mar-1993	44	47.827	-69.756	25.1	0
22-Mar-1993	655	47.667	-69.902	8.6	0.1
26-Mar-1993	46	47.333	-70.212	10	1.6
28-Mar-1993	265	47.692	-70.026	16.4	-0.1
30-Mar-1993	755	47.674	-69.908	10.3	0
30-Mar-1993	135	47.684	-70.104	4.4	1.8
04-Apr-1993	640	47.881	-69.85	20.4	1.5
06-Apr-1993	459	47.499	-70.065	18	0
07-Apr-1993	842	47.677	-69.91	10.7	1.3
12-Apr-1993	263	47.505	-70.363	8.9	0.1
17-Apr-1993	335	47.529	-70.367	7.6	1.8
22-Apr-1993	1330	47.792	-69.832	22.2	1.8
22-Apr-1993	699	48.091	-69.392	28	1.5
13-May-1993	890	47.748	-69.982	14.2	1.4
22-May-1993	281	47.38	-70.254	13.3	1.1
06-Jun-1993	112	47.494	-70.113	10.4	-0.1
15-Jun-1993	331	47.584	-70.261	7.1	1.6
16-Jun-1993	766	47.443	-70.428	5	0.5
01-Jul-1993	67	47.576	-70.373	8.4	1.7
02-Jul-1993	1287	47.408	-71.263	3.5	1.7
05-Jul-1993	1112	47.44	-70.19	6.2	2.3
06-Jul-1993	393	47.695	-70.073	9	0.6
10-Jul-1993	7	47.879	-69.675	10	1.9
15-Jul-1993	650	47.639	-70.1	10	1.9
18-Jul-1993	753	47.602	-70.228	4.8	2.5
27-Jul-1993	302	47.885	-69.867	18.1	0.2
01-Aug-1993	1175	47.535	-70.039	6.7	1.7
01-Aug-1993	117	47.305	-70.386	7.4	1.4
07-Aug-1993	1285	47.666	-69.886	5.5	3.1
08-Aug-1993	334	47.357	-70.138	9.8	0.3
14-Aug-1993	896	47.417	-70.332	9.3	0.1
14-Aug-1993	475	47.417	-70.338	10.3	-0.3
15-Aug-1993	560	47.626	-69.912	11.6	-0.5
18-Aug-1993	903	47.456	-70.104	12.2	2.3
20-Aug-1993	65	47.538	-70.362	6	1.8
23-Aug-1993	571	47.56	-69.942	11.9	2
23-Aug-1993	210	47.672	-69.903	10.5	-0.1
29-Aug-1993	247	47.461	-70.131	20.7	0.2
31-Aug-1993	256	47.629	-69.885	13	0.8
04-Sep-1993	501	47.458	-70.173	14.3	2.3
09-Sep-1993	193	47.637	-70.233	12.6	0.1
26-Sep-1993	136	47.474	-70.026	9.8	-0.4
10-Oct-1993	22	48.124	-69.784	22.3	1.9
13-Oct-1993	103	47.681	-69.878	14	0.4
22-Oct-1993	335	47.935	-69.973	23.2	0.6
10-Nov-1993	809	47.542	-70.039	7.9	0.3
12-Nov-1993	1327	47.652	-70.209	11.3	0.4
15-Nov-1993	608	47.318	-70.392	6.3	0.2
28-Nov-1993	1155	47.684	-70.097	4.9	0.5
01-Dec-1993	767	47.467	-70.158	18	3.5
10-Dec-1993	1115	47.631	-70.166	10.5	-0.1
25-Dec-1993	1265	47.606	-70.268	19.5	0.9
