    -0.01651     -0.00697     -0.00667
     0.92706     -0.01310     -0.00872     -0.01368
     0.49886     -0.01378     -0.00599     -0.01414
     0.37617     -0.00844     -0.01354     -0.01437
     1.04680     -0.00911     -0.00744     -0.00875
     1.06044     -0.01233     -0.00678     -0.01736
     0.10052     -0.00963     -0.00478     -0.02024
     0.55304     -0.01155     -0.00687     -0.01703
     0.11692     -0.00262     -0.00641     -0.02175
     1.31676     -0.01667     -0.00861     -0.00565
     1.49231     -0.00850     -0.00759     -0.00715
     1.26998     -0.01192     -0.01012     -0.01640
     0.48038     -0.01055     -0.00267     -0.01851
     0.52016     -0.01197     -0.02382      0.00378
     3.25605     -0.01415     -0.00461     -0.02621
     1.19125     -0.00860     -0.01246     -0.01861
     0.90805     -0.01334     -0.00630     -0.01351
     0.42239     -0.00846     -0.00462     -0.02246
     0.85141     -0.01215     -0.00497     -0.01692
     0.15181     -0.01183     -0.00628     -0.01651
     0.05671      0.00133     -0.00716     -0.02134
     1.74472     -0.01630     -0.01487     -0.01658
     1.16942     -0.01209     -0.00613     -0.01662
     0.02498     -0.00530     -0.00420     -0.03047
     1.88636     -0.01196     -0.00665     -0.01543
     0.17534     -0.01172     -0.00143     -0.01607
     0.59235     -0.01198     -0.00624     -0.01574
     0.13000     -0.01853     -0.00519     -0.01792
     0.79495     -0.01203     -0.00389     -0.02190
     0.68591     -0.01251      0.00133     -0.02794
     1.64327     -0.01216     -0.00657     -0.01776
     0.12753     -0.00485      0.00214     -0.01940
     1.39354     -0.01144     -0.00582     -0.01755
     0.14029     -0.01020     -0.00437     -0.02439
     0.98524     -0.00842      0.00002     -0.02424
     1.27194     -0.01232     -0.01103     -0.01959
     0.68139     -0.02360     -0.00557     -0.01509
     1.40868     -0.01015     -0.01149     -0.02010
     0.80088     -0.01317     -0.00637     -0.01958
     0.36161     -0.01301     -0.00430     -0.01595
     0.27242     -0.01230     -0.00635     -0.01695
