    -0.08949     -0.01983      0.16456
     0.58388     -0.22568     -0.05106      0.03866
     1.31759     -0.01303      0.00058     -0.00635
     0.07303     -0.13899     -0.06834     -0.04405
     0.84181      0.04318      0.01929     -0.17986
     1.01923     -0.07986     -0.00301      0.30167
     1.90592     -0.02803      0.00696     -0.00549
     0.13748      0.05071      0.25701     -0.10994
     1.67102     -0.00874     -0.00931     -0.01423
     0.03100      0.07279     -0.02227     -0.07403
     0.60719      0.15323     -0.00971     -0.06949
     1.01658     -0.06990      0.14740      0.07502
     1.10066     -0.10246     -0.06562     -0.06763
     0.69907     -0.00810      0.02413     -0.06457
     0.33223      0.01279     -0.03062     -0.12060
     0.64124     -0.00629      0.04494      0.01084
     0.34207      0.04557     -0.01706     -0.05395
     0.40714     -0.01767      0.00041      0.00407
     0.13202     -0.05254      0.01311     -0.02617
     0.26757     -0.01038     -0.12723     -0.05812
     0.74873     -0.01830      0.01015     -0.07024
     0.32924     -0.01716      0.03968     -0.00414
     0.28018      0.02071     -0.00731     -0.08008
     0.41769     -0.01626      0.03616     -0.00266
     0.26252     -0.15903      0.04796     -0.06429
     0.95746     -0.02382     -0.00340      0.00598
     0.15047     -0.22097     -0.06353      0.13879
     1.56064     -0.01016     -0.00896     -0.02334
     0.04332      0.00654     -0.05851     -0.02154
     0.32641     -0.07002      0.05412      0.11510
     0.91394      0.00406     -0.02102     -0.01982
     0.12999     -0.04683     -0.00966     -0.03719
     0.23620      0.03385      0.05172     -0.07358
     0.54609     -0.09753     -0.07913     -0.10030
     0.81904      0.01576     -0.03261     -0.00291
     0.23927     -0.01831     -0.08976      0.03826
     0.58679      0.00789     -0.01189     -0.07087
     0.33942     -0.23029      0.11107     -0.01232
     1.44983      0.05128      0.00008      0.24386
     1.57079     -0.01424     -0.03035     -0.12363
     0.64136      0.00773      0.01430     -0.00478
     0.18157     -0.03321     -0.02494      0.00583
     0.21135      0.00595      0.01991      0.00791
     0.23573      0.05026     -0.01241     -0.10857
     0.65096     -0.08147      0.04417      0.06780
     0.70470     -0.01233      0.03329     -0.11380
     0.61323     -0.01199     -0.00662      0.01839
     0.20587      0.03149     -0.02586     -0.04383
     0.32205      0.00500     -0.00335     -0.04521
     0.19523      0.06674      0.10151     -0.13823
     1.05675     -0.10265     -0.17324      0.06820
     1.21819     -0.03635     -0.01480     -0.06249
     0.30678     -0.17185      0.16480     -0.03041
     1.37187     -0.01372     -0.00123      0.03193
     0.28677      0.02474      0.10120     -0.02074
     0.66531     -0.02331     -0.04024      0.01548
     0.28212     -0.00128      0.01647     -0.08377
     0.41893     -0.03069     -0.05287     -0.13812
     0.76870     -0.08088     -0.04705      0.32103
     2.01971     -0.03806      0.03872     -0.07339
     0.44937      0.10231     -0.08323     -0.05580
     0.83952     -0.04455     -0.00513      0.04684
     0.41784      0.00220      0.04272      0.02852
     0.39932     -0.02000     -0.01224     -0.00952
     0.07165      0.04491      0.05918     -0.14488
     0.90590      0.10447      0.04478      0.05482
     0.85512      0.04903      0.00957     -0.07270
     0.49414     -0.04445     -0.02036     -0.06270
     0.33878     -0.00918      0.00200      0.13888
     0.91268     -0.02038     -0.01520      0.01283
     0.18738     -0.06434     -0.03412      0.13278
     0.94150     -0.01284     -0.00691     -0.05395
     0.21770     -0.00621     -0.00501     -0.01996
     0.04032      0.02055      0.06447     -0.00112
     0.46511      0.30333     -0.27932     -0.09575
     2.47482      0.00662      0.00650     -0.00726
     0.14417     -0.01762      0.00882     -0.01027
     0.10099      0.02576      0.01247     -0.29071
     1.62257      0.17191      0.05772     -0.08437
     1.20756     -0.00308     -0.01239     -0.30682
     1.69914     -0.14837      0.08938     -0.04913
     0.99220     -0.00168      0.02292     -0.13171
     0.69679     -0.08295     -0.06331     -0.02127
     0.53289     -0.04049     -0.01546     -0.23350
     1.28058     -0.00564     -0.00514     -0.00818
     0.06362     -0.04390     -0.04692     -0.01360
     0.30261     -0.14571     -0.19891     -0.05720
     1.39262      0.05620      0.05705     -0.11937
     0.81125     -0.01994      0.00593     -0.00240
     0.11914     -0.07519      0.24709     -0.36549
     2.52524      0.06218     -0.09005     -0.08704
     0.77436     -0.08726      0.07178     -0.09333
     0.77609     -0.10731      0.02715      0.02394
     0.63635      0.08593     -0.04079     -0.01809
     0.60910      0.07615     -0.14506      0.08806
     1.14231      0.02672      0.12253      0.12396
