    -0.02348     -0.00820      0.00968
     0.22372     -0.00068      0.00951     -0.03450
     1.21093     -0.02540     -0.03058     -0.00438
     1.39593     -0.01572     -0.00746     -0.02345
     0.35154     -0.03549      0.01874     -0.01877
     1.57202     -0.01242     -0.00548     -0.00967
     0.32861     -0.00681      0.00946     -0.01736
     0.76238     -0.01382     -0.01117     -0.01207
     0.32329     -0.01061     -0.00290     -0.02655
     0.48006     -0.01490     -0.01302     -0.03448
     0.88085     -0.02222     -0.01217      0.03251
     2.31620     -0.01597      0.00035     -0.02504
     0.51493      0.00451     -0.01744     -0.02247
     0.96201     -0.01692     -0.00605     -0.00750
     0.47881     -0.01010      0.00093     -0.01017
     0.45758     -0.01334     -0.00709     -0.01572
     0.08211     -0.00387      0.00333     -0.03547
     1.03807      0.00482      0.00123     -0.00633
     0.97989     -0.00327     -0.00391     -0.02494
     0.56623     -0.01690     -0.00827     -0.02348
     0.38820     -0.01176     -0.00501      0.00593
     1.04584     -0.01339     -0.00752     -0.01246
     0.21472     -0.01981     -0.01028      0.00504
     1.07887     -0.01229     -0.00631     -0.02220
     0.24946     -0.01133     -0.00603     -0.01724
     0.04620     -0.00742      0.00410     -0.01449
     0.53297      0.03384     -0.04606     -0.02830
     2.83757     -0.00945     -0.00435     -0.01539
     0.16521     -0.01299     -0.00401     -0.01583
     0.11572     -0.00666     -0.00348     -0.05675
     1.85930      0.01466      0.00312     -0.02664
     1.38374     -0.01087     -0.00711     -0.05910
     1.94704     -0.03207      0.00774     -0.02150
     1.13696     -0.01066     -0.00196     -0.03355
     0.79845     -0.02252     -0.01454     -0.01743
     0.61064     -0.01633     -0.00756     -0.04840
     1.46742     -0.01124     -0.00605     -0.01552
     0.07290     -0.01682     -0.01215     -0.01632
     0.34676     -0.03168     -0.03432     -0.02268
     1.59580     -0.00222      0.00302     -0.03175
     0.92961     -0.01333     -0.00444     -0.01468
     0.13652     -0.02139      0.03075     -0.06766
     2.89727     -0.00135     -0.01844     -0.02703
     0.88734     -0.02315      0.00517     -0.02795
     0.88932     -0.02608     -0.00134     -0.01084
     0.72919      0.00212     -0.01125     -0.01697
     0.69797      0.00069     -0.02647     -0.00148
     1.30898     -0.00652      0.01257      0.00375
     1.30584     -0.01106     -0.00512     -0.00725
     0.44412     -0.02283     -0.00327     -0.00803
     0.64715     -0.01723      0.00747     -0.01322
     0.68978     -0.01201     -0.00783     -0.01462
     0.12447     -0.01438     -0.01440     -0.00325
     0.73402     -0.01257     -0.00614      0.02194
     1.78017     -0.01580      0.00145     -0.02139
     0.44298     -0.03431      0.00708     -0.02112
     1.20261      0.00006     -0.01403     -0.00435
     0.87952     -0.00838      0.00976     -0.02785
     0.91056     -0.03370     -0.02287     -0.00423
     1.37743     -0.01192     -0.00609     -0.01678
     0.01398     -0.01688      0.00270     -0.00408
     0.74473     -0.01015     -0.01281     -0.02668
     0.55535     -0.01318     -0.00505     -0.00405
     0.58923     -0.01554     -0.02419     -0.01534
     0.84369     -0.01029     -0.01708     -0.00884
     0.62504     -0.00359     -0.02041     -0.02478
     0.84763     -0.01545     -0.00443      0.01779
     1.59835     -0.02248     -0.00879     -0.02340
     0.57461     -0.00708     -0.00594     -0.01482
     0.25218     -0.01465      0.02537     -0.00846
     1.50574     -0.01273     -0.00892     -0.02105
     0.23383     -0.02136     -0.00487     -0.01331
     0.45475     -0.01155     -0.00597     -0.01739
     0.04231     -0.01254     -0.01763     -0.03184
